0,1,2,# points,radius
28.83530695055466,6.203620220637636,1.0171180812764873,68,5.5725104119118045
23.034532467139698,8.23194557437885,1.0556868601466423,65,4.343623588402426
36.174160644255316,11.42977977144281,1.0043577732265079,116,5.489311813386369
12.420417263383861,18.630961993436877,2.0148193459265777,22,4.839530531929194
6.289587250989534,19.82249212853484,2.790196052123708,49,6.993555506770028
23.87174585252495,19.62723926532076,1.9545566953089006,6,4.4302805148328614
16.96899607394818,13.603219579886506,1.0267474573282331,13,4.030039623700585
38.95643663030728,14.706800206804933,1.0016251803439316,6,10.753256697243012
26.196794742698152,4.83548178523681,1.0058128590702304,6,3.73997496714289
33.843853237511254,7.49333283758406,1.000418630793336,6,5.937011258612266
18.27311775570683,9.92590974619162,1.0036641393977723,3,6.292664118764838
6.858919912243888,17.62713283569362,2.8855386052863703,2,5.060275741275567
